Source File,Order ID,Order Date,Customer Name,Product ID,Product Name,Quantity,Unit Price
purchase_orders_10248.pdf,10248,2016-07-04,Paul Henriot,11,Queso Cabrales,12,14
purchase_orders_10248.pdf,10248,2016-07-04,Paul Henriot,42,Singaporean Hokkien Fried Mee,10,9.8
purchase_orders_10248.pdf,10248,2016-07-04,Paul Henriot,72,Mozzarella di Giovanni,5,34.8
purchase_orders_10249.pdf,10249,2016-07-05,Karin Josephs,14,Tofu,9,18.6
purchase_orders_10249.pdf,10249,2016-07-05,Karin Josephs,51,Manjimup Dried Apples,40,42.4
purchase_orders_10250.pdf,10250,2016-07-08,Mario Pontes,41,Jack's New England Clam Chowder,10,7.7
purchase_orders_10250.pdf,10250,2016-07-08,Mario Pontes,51,Manjimup Dried Apples,35,42.4
purchase_orders_10250.pdf,10250,2016-07-08,Mario Pontes,65,Louisiana Fiery Hot Pepper Sauce,15,16.8
purchase_orders_10251.pdf,10251,2016-07-08,Mary Saveley,22,Gustaf's Knäckebröd,6,16.8
purchase_orders_10251.pdf,10251,2016-07-08,Mary Saveley,57,Ravioli Angelo,15,15.6
purchase_orders_10251.pdf,10251,2016-07-08,Mary Saveley,65,Louisiana Fiery Hot Pepper Sauce,20,16.8
purchase_orders_10252.pdf,10252,2016-07-09,Pascale Cartrain,20,Sir Rodney's Marmalade,40,64.8
purchase_orders_10252.pdf,10252,2016-07-09,Pascale Cartrain,33,Geitost,25,2
purchase_orders_10252.pdf,10252,2016-07-09,Pascale Cartrain,60,Camembert Pierrot,40,27.2
purchase_orders_10253.pdf,10253,2016-07-10,Mario Pontes,31,Gorgonzola Telino,20,10
purchase_orders_10253.pdf,10253,2016-07-10,Mario Pontes,39,Chartreuse verte,42,14.4
purchase_orders_10253.pdf,10253,2016-07-10,Mario Pontes,49,Maxilaku,40,16
purchase_orders_10254.pdf,10254,2016-07-11,Yang Wang,24,Guaraná Fantástica,15,3.6
purchase_orders_10254.pdf,10254,2016-07-11,Yang Wang,55,Pâté chinois,21,19.2
